09:26:18.871 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:18.871 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:18.872 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:18.872 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:18.872 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=1294 | UDP datagram | rtt=-
09:26:18.872 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=191 | UDP datagram | rtt=-
09:26:18.876 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=66 | TCP ACK | rtt=-
09:26:18.880 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=198 | UDP datagram | rtt=-
09:26:19.135 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=151 | TCP PSH | rtt=-
09:26:19.135 | wlo1 | UDP | d4:7f:35:16:e2:9f /104.18.32.47:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52061 | ttl=54 | len=693 | UDP datagram | rtt=-
09:26:19.136 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:52061 -> d4:7f:35:16:e2:9f /104.18.32.47:443 | ttl=64 | len=87 | UDP datagram | rtt=-
09:26:19.176 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=66 | TCP ACK | rtt=-
09:26:19.521 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=155 | TCP PSH | rtt=-
09:26:19.528 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=66 | TCP ACK | rtt=-
09:26:19.615 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=151 | TCP PSH | rtt=-
09:26:19.615 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=66 | TCP ACK | rtt=-
09:26:23.816 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:55388 -> d4:7f:35:16:e2:9f /172.64.148.235:443 | ttl=64 | len=155 | TCP PSH | rtt=-
09:26:23.828 | wlo1 | TCP | d4:7f:35:16:e2:9f /172.64.148.235:443 -> 94:bb:43:2a:60:bd /172.26.109.31:55388 | ttl=54 | len=66 | TCP ACK | rtt=-
09:26:23.835 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:37960 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=100 | UDP datagram | rtt=-
09:26:23.835 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:47913 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=100 | UDP datagram | rtt=-
09:26:23.835 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32840 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=74 | TCP SYN | rtt=-
09:26:23.836 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:38788 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=115 | UDP datagram | rtt=-
09:26:23.836 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:40477 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=115 | UDP datagram | rtt=-
09:26:23.839 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:38788 | ttl=62 | len=167 | UDP datagram | rtt=-
09:26:23.839 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:40477 | ttl=62 | len=179 | UDP datagram | rtt=-
09:26:23.840 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32848 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=74 | TCP SYN | rtt=-
09:26:23.841 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:60935 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=101 | UDP datagram | rtt=-
09:26:23.842 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:33640 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=101 | UDP datagram | rtt=-
09:26:23.843 | wlo1 | TCP | d4:7f:35:16:e2:9f /146.75.89.91:443 -> 94:bb:43:2a:60:bd /172.26.109.31:32840 | ttl=55 | len=74 | TCP SYN-ACK | rtt=-
09:26:23.843 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32840 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=66 | TCP ACK | rtt=-
09:26:23.844 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32840 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=1304 | TCP ACK | rtt=-
09:26:23.844 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32840 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=1189 | TCP PSH | rtt=-
09:26:23.848 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:33640 | ttl=62 | len=245 | UDP datagram | rtt=-
09:26:23.848 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:60935 | ttl=62 | len=176 | UDP datagram | rtt=-
09:26:23.848 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:47913 | ttl=62 | len=128 | UDP datagram | rtt=-
09:26:23.848 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:37960 | ttl=62 | len=116 | UDP datagram | rtt=-
09:26:23.848 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32840 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=164 | TCP PSH | rtt=-
09:26:23.848 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:51587 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=116 | UDP datagram | rtt=-
09:26:23.849 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:43962 -> d4:7f:35:16:e2:9f /34.120.208.123:443 | ttl=64 | len=74 | TCP SYN | rtt=-
09:26:23.852 | wlo1 | TCP | d4:7f:35:16:e2:9f /146.75.89.91:443 -> 94:bb:43:2a:60:bd /172.26.109.31:32848 | ttl=55 | len=74 | TCP SYN-ACK | rtt=-
09:26:23.852 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:51587 | ttl=62 | len=201 | UDP datagram | rtt=-
09:26:23.852 | wlo1 | TCP | d4:7f:35:16:e2:9f /146.75.89.91:443 -> 94:bb:43:2a:60:bd /172.26.109.31:32840 | ttl=55 | len=66 | TCP ACK | rtt=-
09:26:23.852 | wlo1 | TCP | d4:7f:35:16:e2:9f /146.75.89.91:443 -> 94:bb:43:2a:60:bd /172.26.109.31:32840 | ttl=55 | len=1619 | TCP PSH | rtt=-
09:26:23.852 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32848 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=66 | TCP ACK | rtt=-
09:26:23.852 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:32840 -> d4:7f:35:16:e2:9f /146.75.89.91:443 | ttl=64 | len=66 | TCP ACK | rtt=-
