timestamp,interface,protocol,srcMac,dstMac,srcIp,dstIp,srcPort,dstPort,ttl,length,summary,rtt
"2026-04-29 11:14:27.377","wlo1","UDP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","193.137.16.65","172.26.109.31","53","37168","63",189,"UDP datagram","-"
"2026-04-29 11:14:27.404","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","150.171.110.114","172.26.109.31","443","38738","44",66,"TCP ACK","-"
"2026-04-29 11:14:27.676","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",66,"TCP ACK","-"
"2026-04-29 11:14:27.676","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",105,"TCP ACK-PSH","-"
"2026-04-29 11:14:27.676","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",66,"TCP ACK","-"
"2026-04-29 11:14:27.676","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",66,"TCP ACK","-"
"2026-04-29 11:14:27.676","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",66,"TCP ACK","-"
"2026-04-29 11:14:27.676","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",66,"TCP ACK","-"
"2026-04-29 11:14:27.676","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",66,"TCP ACK","-"
"2026-04-29 11:14:27.716","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",66,"TCP ACK","-"
"2026-04-29 11:14:27.993","wlo1","TCP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","52.182.143.211","172.26.109.31","443","52394","101",165,"TCP ACK-PSH","-"
"2026-04-29 11:14:27.993","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",66,"TCP ACK","-"
